player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,season,team,pressures_per_prsnap,sacks_per_prsnap,hits_per_prsnap,tfl_per_rundef,stops_per_rundef,yards_per_target,tds_per_target,ints_per_target,pbus_per_target,missed_tackle_pct,tackles_per_snap,stops_per_snap,penalties_per_snap,role
Eric Weddle,3653,S,LA,4,6,0,50.0,0,0,26,0,0,67.2,75.0,1.1,,91.0,87.7,0,0,0,0,16.0,0.0,0,0,1,105.2,4,0,0,82,1,146,192,3,0,0,3,0,68,189,0,46,38,8,13,1,8,0,1,42,23,10.5,2021,LAR,0.0,0.0,0.0,0.021739130434782608,0.17391304347826086,5.25,0.125,0.0,0.0,0.0,0.06770833333333333,0.041666666666666664,0.005208333333333333,S
DeSean Jackson,4363,WR,LV,1,0,0,,0,0,23,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2021,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UNKNOWN
Calais Campbell,4364,DI,BLT,15,12,1,,1,0,3,1,0,70.0,80.8,87.5,69.5,77.9,52.5,11,19,0,0,,9.8,5,0,1,0.0,0,1,0,2,0,1,615,613,97,230,67,219,0,2,423,191,0,24,34,6,0,31,0,0,0,,2021,BAL,0.07328605200945626,0.002364066193853428,0.026004728132387706,0.031413612565445025,0.1256544502617801,0.0,0.0,0.0,0.0,9.8,0.055284552845528454,0.03902439024390244,0.0016260162601626016,IDL
Matthew Slater,4467,WR,NE,1,0,0,,0,0,19,0,0,60.7,70.2,60.0,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2021,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UNKNOWN
Malcolm Jenkins,4937,S,NO,16,17,0,70.4,0,1,20,0,0,60.8,64.5,89.0,57.3,70.6,62.5,1,3,1,1,31.0,11.8,11,4,2,92.2,38,1,0,295,48,629,1042,143,0,0,143,0,330,899,50,363,226,27,65,2,54,5,2,348,164,9.2,2021,NO,0.1,0.02,0.02,0.005509641873278237,0.0743801652892562,6.444444444444445,0.037037037037037035,0.018518518518518517,0.07407407407407407,11.8,0.06238003838771593,0.025911708253358926,0.0019193857965451055,S
Jason McCourty,5127,S,MIA,7,5,0,71.4,0,0,17,0,0,73.5,72.1,81.7,54.5,59.2,60.8,0,0,0,0,25.0,16.0,4,3,0,114.6,10,0,0,76,22,190,312,6,0,0,6,0,183,306,4,118,25,3,16,0,14,0,1,98,29,9.8,2021,MIA,0.0,0.0,0.0,0.0,0.025423728813559324,7.0,0.07142857142857142,0.0,0.21428571428571427,16.0,0.05128205128205128,0.009615384615384616,0.0,S
Steve McLendon,5232,DI,TB,14,3,1,,1,1,30,0,0,67.3,65.9,62.3,64.0,59.5,37.2,5,8,0,1,,15.4,2,0,1,0.0,0,1,0,1,0,5,296,295,21,218,1,55,0,1,196,95,0,7,8,1,0,14,0,0,0,,2021,TB,0.07142857142857142,0.00510204081632653,0.025510204081632654,0.010526315789473684,0.07368421052631578,0.0,0.0,0.0,0.0,15.4,0.02702702702702703,0.02364864864864865,0.0033783783783783786,IDL
Ndamukong Suh,5527,DI,TB,19,10,1,100.0,0,1,30,1,0,57.7,52.4,50.3,54.3,57.1,49.3,9,27,0,0,5.0,15.6,5,0,4,87.5,1,7,0,4,0,9,798,794,10,394,48,342,0,4,564,225,0,18,17,1,1,43,0,5,2,5.0,2021,TB,0.07624113475177305,0.012411347517730497,0.015957446808510637,0.0044444444444444444,0.08,5.0,0.0,0.0,0.0,15.6,0.021303258145363407,0.022556390977443608,0.005012531328320802,IDL
Gerald McCoy,5528,DI,LV,1,0,0,,0,0,23,0,0,,48.2,73.2,55.2,53.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,3,6,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,,2021,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,IDL
Joe Haden,5532,CB,PIT,13,11,0,67.3,0,1,25,1,0,64.2,62.1,85.8,,48.0,48.6,0,0,0,0,50.0,16.1,9,6,1,119.3,37,0,0,59,623,446,695,3,0,0,3,0,0,692,0,249,10,12,36,1,55,0,5,407,137,11.0,2021,PIT,0.0,0.0,0.0,0.004016064257028112,0.04819277108433735,7.4,0.09090909090909091,0.0,0.10909090909090909,16.1,0.051798561151079135,0.017266187050359712,0.0014388489208633094,CB
Tyson Alualu,5535,DI,PIT,2,2,0,,0,0,25,0,0,,59.7,78.7,59.4,58.2,40.8,1,1,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,0,57,57,7,40,1,9,0,0,40,17,0,1,3,0,0,2,0,0,0,,2021,PIT,0.05,0.0,0.025,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,16.7,0.05263157894736842,0.017543859649122806,0.0,IDL
Brandon Graham,5538,ED,PHI,2,0,0,,0,0,24,0,0,,62.6,79.9,60.6,61.0,25.6,1,1,0,0,,50.0,2,0,0,0.0,0,0,0,0,0,0,50,50,0,1,36,13,0,0,32,18,0,1,2,1,0,2,0,0,0,,2021,PHI,0.0625,0.0,0.03125,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,50.0,0.04,0.02,0.0,EDGE
Jason Pierre-Paul,5540,ED,TB,14,7,4,100.0,0,1,30,1,0,65.6,45.3,46.5,52.0,38.6,57.0,4,21,0,0,24.0,16.2,6,0,4,134.2,10,4,0,14,0,55,699,680,0,8,661,11,0,19,444,200,5,15,24,2,10,29,1,82,56,8.2,2021,TB,0.06531531531531531,0.009009009009009009,0.009009009009009009,0.01,0.075,8.2,0.1,0.0,0.0,16.2,0.034334763948497854,0.02145922746781116,0.005722460658082976,EDGE
Kareem Jackson,5545,S,DEN,15,11,0,75.0,0,0,10,0,0,48.5,52.0,93.5,61.0,56.8,50.6,0,0,0,1,23.0,17.1,18,1,0,111.8,24,1,0,254,2,531,895,3,0,0,3,0,528,892,2,362,108,15,76,1,32,1,3,223,106,9.3,2021,DEN,0.5,0.5,0.0,0.0027624309392265192,0.04143646408839779,6.96875,0.09375,0.03125,0.03125,17.1,0.08491620111731843,0.01675977653631285,0.0,S
Devin McCourty,5552,S,NE,18,18,0,50.0,0,0,19,0,0,74.7,75.4,88.0,52.3,74.9,73.8,0,1,0,3,33.0,9.3,7,8,0,31.8,12,0,0,203,14,620,1075,8,0,0,8,0,779,1067,6,449,70,2,50,0,24,1,0,159,63,13.3,2021,NE,0.16666666666666666,0.0,0.0,0.0,0.004454342984409799,6.625,0.0,0.125,0.3333333333333333,9.3,0.046511627906976744,0.0018604651162790699,0.0,S
Jerry Hughes,5556,ED,BUF,19,3,3,50.0,2,2,4,0,0,52.3,70.7,38.6,81.2,54.9,24.8,5,46,0,0,18.0,36.4,8,0,5,63.5,2,4,0,3,0,20,624,620,0,2,606,12,0,4,395,209,1,11,11,1,4,55,0,19,11,9.5,2021,BUF,0.13924050632911392,0.010126582278481013,0.012658227848101266,0.004784688995215311,0.05263157894736842,4.75,0.0,0.0,0.0,36.4,0.017628205128205128,0.017628205128205128,0.008012820512820512,EDGE
