gsis_id,role
00-0025424,S
00-0026189,UNKNOWN
00-0026190,IDL
00-0026564,IDL
00-0026982,LB
00-0026990,S
00-0027136,S
00-0027539,S
00-0027647,S
00-0027662,EDGE
00-0027686,IDL
00-0027691,UNKNOWN
00-0027701,EDGE
00-0027723,IDL
00-0027855,IDL
00-0027856,IDL
00-0027860,CB
00-0027862,IDL
00-0027865,EDGE
00-0027867,EDGE
00-0027872,S
00-0027881,EDGE
00-0027885,IDL
00-0027914,S
00-0027940,EDGE
00-0027943,CB
00-0027949,IDL
00-0027952,EDGE
00-0027954,EDGE
00-0027962,EDGE
00-0027965,CB
00-0027969,IDL
00-0027975,EDGE
00-0028008,EDGE
00-0028037,LB
00-0028063,UNKNOWN
00-0028075,CB
00-0028092,CB
00-0028103,EDGE
00-0028180,LB
00-0028278,LB
00-0028292,LB
00-0028339,EDGE
00-0028908,S
00-0029061,LB
00-0029193,EDGE
00-0029239,UNKNOWN
00-0029255,LB
00-0029269,UNKNOWN
00-0029284,IDL
00-0029285,CB
00-0029410,S
00-0029412,EDGE
00-0029530,CB
00-0029542,CB
00-0029560,CB
00-0029562,LB
00-0029568,IDL
00-0029570,S
00-0029577,LB
00-0029585,EDGE
00-0029606,S
00-0029607,LB
00-0029630,IDL
00-0029643,EDGE
00-0029647,LB
00-0029653,IDL
00-0029657,IDL
00-0029669,LB
00-0029681,CB
00-0029747,S
00-0029794,LB
00-0029799,EDGE
00-0029890,IDL
00-0029901,CB
00-0029955,LB
00-0030010,EDGE
00-0030062,CB
00-0030063,IDL
00-0030064,LB
00-0030070,IDL
00-0030083,UNKNOWN
00-0030090,S
00-0030114,S
00-0030148,IDL
00-0030155,UNKNOWN
00-0030161,S
00-0030196,S
00-0030228,CB
00-0030294,S
00-0030312,S
00-0030380,EDGE
00-0030382,LB
00-0030383,S
00-0030386,IDL
00-0030387,EDGE
00-0030402,IDL
00-0030411,S
00-0030431,UNKNOWN
00-0030442,EDGE
00-0030449,IDL
00-0030455,IDL
00-0030456,UNKNOWN
00-0030459,S
00-0030463,LB
00-0030471,S
00-0030500,IDL
00-0030503,EDGE
00-0030506,UNKNOWN
00-0030511,IDL
00-0030527,LB
00-0030528,CB
00-0030562,CB
00-0030572,CB
00-0030573,IDL
00-0030575,CB
00-0030578,UNKNOWN
00-0030665,S
00-0030757,IDL
00-0030761,LB
00-0030883,EDGE
00-0030968,UNKNOWN
00-0030986,EDGE
00-0031016,CB
00-0031040,EDGE
00-0031041,CB
00-0031052,CB
00-0031054,IDL
00-0031061,CB
00-0031071,IDL
00-0031097,CB
00-0031101,EDGE
00-0031105,IDL
00-0031130,EDGE
00-0031175,EDGE
00-0031176,CB
00-0031177,IDL
00-0031181,S
00-0031241,EDGE
00-0031242,IDL
00-0031253,CB
00-0031254,EDGE
