season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2021,TB,QB,QB,12.0,ACT,Tom Brady,Tom,Brady,1977-08-03,76.0,225.0,Michigan,00-0019596,2330.0,41c44740-d0f6-44ab-8347-3b5d515e5ecf,5228.0,1350.0,698.0,BradTo00,4314.0,167.0,21,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",QB,20,DIV,A01,Tom,BRA371156,25511,32004252-4137-1156-7ed0-8b9e44948f13,2000,2000.0,NE,199.0
2021,NO,QB,QB,9.0,RET,Drew Brees,Drew,Brees,1979-01-15,72.0,209.0,Purdue,00-0020531,2580.0,bb5957e6-ce7d-47ab-8036-22191ffc1c44,5479.0,2178.0,802.0,BreeDr00,7242.0,289.0,20,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",,18,REG,R02,Drew,BRE229498,26250,32004252-4522-9498-de45-55dc89e02748,2001,2001.0,SD,32.0
2021,CHI,OL,T,71.0,ACT,Jason Peters,Jason,Peters,1982-01-22,76.0,328.0,Arkansas,00-0022531,6012.0,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122.0,3874.0,2148.0,,8920.0,412.0,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ma7bkdymewzelolhydoc",T,18,REG,A01,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004.0,,
2021,ARI,P,P,14.0,ACT,Andy Lee,Andy,Lee,1982-08-11,73.0,185.0,Pittsburgh,00-0022824,5713.0,edaad8e3-62cd-4715-b225-0010ee9825a0,6947.0,4044.0,1906.0,LeexAn20,3100.0,112.0,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tlzghdps4wmxukbapq6o",,19,WC,A01,Andy,LEE008195,29141,32004c45-4500-8195-3f84-7c9db88c8928,2004,2004.0,SF,188.0
2021,PIT,QB,QB,7.0,ACT,Ben Roethlisberger,Ben,Roethlisberger,1982-03-02,77.0,240.0,"Miami, O.",00-0022924,5536.0,ea357add-1a41-4a8b-8f34-bbfade7f4d98,6770.0,3764.0,1732.0,RoetBe00,3807.0,138.0,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",QB,19,WC,A01,Ben,ROE750381,28963,3200524f-4575-0381-afea-aa103cf4a1e3,2004,2004.0,PIT,11.0
2021,SF,K,K,9.0,ACT,Robbie Gould,Robbie,Gould,1982-12-06,72.0,190.0,Penn State,00-0023252,9354.0,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,7520.0,4686.0,2607.0,,1410.0,49.0,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dvi2xjlpi0i3btue4etc",,21,CON,A01,Robbie,GOU258729,30403,3200474f-5525-8729-db48-d9e3a46235a3,2005,2005.0,,
2021,GB,QB,QB,12.0,ACT,Aaron Rodgers,Aaron,Rodgers,1983-12-02,74.0,225.0,California,00-0023459,8439.0,0ce48193-e2fa-466e-a986-33f751add206,7200.0,4307.0,2241.0,RodgAa00,2593.0,96.0,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hh8azxeqpydxofvo0suc",QB,20,DIV,A01,Aaron,ROD339293,29851,3200524f-4433-9293-a3cf-ad7758d03003,2005,2005.0,GB,24.0
2021,LV,OL,G,64.0,RES,Richie Incognito,Richie,Incognito,1983-07-05,75.0,325.0,Nebraska,00-0023516,,,,,,,,,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dp4mjqbrnzbjgymabe0a",,19,WC,R01,Richie,INC474619,29908,3200494e-4347-4619-781a-310957730fe1,2005,2005.0,STL,81.0
2021,CLE,P,P,2.0,ACT,Dustin Colquitt,Dustin,Colquitt,1982-05-06,75.0,210.0,Tennessee,00-0023534,8513.0,cdf8908a-7092-4054-a49c-a9884211aaa1,7275.0,4442.0,2316.0,ColqDu20,8243.0,330.0,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v1aymd6o0vpg73ytxzhu",,18,REG,A01,Dustin,COL759300,29926,3200434f-4c75-9300-56a9-5740a2cedb3f,2005,2005.0,KC,99.0
2021,WAS,QB,QB,14.0,RES,Ryan Fitzpatrick,Ryan,Fitzpatrick,1982-11-24,74.0,228.0,Harvard,00-0023682,8664.0,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,7426.0,4385.0,2467.0,FitzRy00,8283.0,333.0,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pkhhxwplsawnhln9rsun",,18,REG,R01,Ryan,FIT792915,30078,32004649-5479-2915-c998-f50119c2fdd4,2005,2005.0,STL,250.0
