Rk,Player,AV,From,To,G,GS,Pos,Team
1,Penei Sewell,55,2021,2024,71,71,RT/LT,DET
2,Tristan Wirfs,53,2021,2024,68,68,RT,TAM
3,Lane Johnson,51,2021,2024,68,68,RT,PHI
4,Trent Williams,51,2021,2024,63,63,LT,SFO
5,Dion Dawkins,50,2021,2024,73,72,LT,BUF
6,Joe Thuney,45,2021,2024,77,77,LG,KAN
7,Zack Martin,44,2021,2024,62,62,RG,DAL
8,Creed Humphrey,43,2021,2024,81,81,C,KAN
9,Orlando Brown Jr.,41,2021,2024,67,67,LT,"CIN,KAN"
10,Jason Kelce,41,2021,2023,56,56,C,PHI
11,Joel Bitonio,38,2021,2024,67,67,LG,CLE
12,Chris Lindstrom,37,2021,2024,67,67,RG,ATL
13,Brian O'Neill,37,2021,2024,65,65,RT,MIN
14,Quenton Nelson,35,2021,2024,64,64,LG,IND
15,Frank Ragnow,35,2021,2024,55,55,C,DET
16,Spencer Brown,34,2021,2024,68,65,RT,BUF
17,Jordan Mailata,34,2021,2024,68,68,LT,PHI
18,Rashawn Slater,34,2021,2024,52,52,LT,LAC
19,Landon Dickerson,33,2021,2024,72,71,LG,PHI
20,Trey Smith,33,2021,2024,80,80,RG,KAN
21,Tyler Biadasz,32,2021,2024,71,71,C,"DAL,WAS"
22,Taylor Decker,32,2021,2024,59,59,LT,DET
23,Elgton Jenkins,32,2021,2024,58,58,LT,GNB
24,Jonah Williams,32,2021,2024,60,60,LT,"ARI,CIN"
25,Alex Cappa,31,2021,2024,69,69,RG,"CIN,TAM"
26,Ted Karras,31,2021,2024,71,67,LG,"CIN,NWE"
27,Mitch Morse,31,2021,2024,70,70,C,"BUF,JAX"
28,Terence Steele,31,2021,2024,65,61,RT/LT,DAL
29,Jake Matthews,30,2021,2024,68,68,LT,ATL
30,Dan Moore,30,2021,2024,69,69,LT,PIT
31,Jon Runyan Jr.,30,2021,2024,67,66,LG,"GNB,NYG"
32,Rob Havenstein,29,2021,2024,64,64,RT,LAR
33,Kaleb McGary,29,2021,2024,63,63,RT,ATL
34,Connor McGovern,29,2021,2024,72,60,LG,"BUF,DAL"
35,Josh Myers,29,2021,2024,60,60,C,GNB
36,Jawaan Taylor,29,2021,2024,76,76,RT,"JAX,KAN"
37,Kevin Zeitler,29,2021,2024,66,66,RG,"BAL,DET"
38,Morgan Moses,28,2021,2024,65,64,RT,"BAL,NYJ"
39,Laremy Tunsil,28,2021,2024,57,57,LT,HOU
40,Terron Armstead,27,2021,2024,48,48,LT,"MIA,NOR"
41,Robert Hunt,27,2021,2024,63,62,RG,"CAR,MIA"
42,Kolton Miller,27,2021,2024,64,62,LT,LVR
43,Taylor Moton,27,2021,2024,65,65,RT,CAR
44,Brandon Scherff,27,2021,2024,64,64,RG,"JAX,WAS"
45,Wyatt Teller,27,2021,2024,63,62,RG,CLE
