Rk,Player,AV,Season,Age,Team,G,GS,AV,Pos
1,L.Jackson,21,2024,27,BAL,19,19,21,QB
2,J.Allen,20,2024,28,BUF,20,20,20,QB
3,J.Daniels,20,2024,24,WAS,20,20,20,QB
4,J.Goff,18,2024,30,DET,18,18,18,QB
5,B.Mayfield,17,2024,29,TAM,18,18,17,QB
6,J.Burrow,16,2024,28,CIN,17,17,16,QB
7,J.Hurts,16,2024,26,PHI,19,19,16,QB
8,K.Murray,15,2024,27,ARI,17,17,15,QB
9,S.Darnold,14,2024,27,MIN,18,18,14,QB
10,J.Herbert,14,2024,26,LAC,18,18,14,QB
11,P.Mahomes,14,2024,29,KAN,19,19,14,QB
12,B.Nix,13,2024,24,DEN,18,18,13,QB
13,B.Purdy,13,2024,25,SFO,15,15,13,QB
14,J.Love,12,2024,26,GNB,16,16,12,QB
15,A.Rodgers,12,2024,41,NYJ,17,17,12,QB
16,G.Smith,12,2024,34,SEA,17,17,12,QB
17,M.Stafford,12,2024,36,LAR,18,18,12,QB
18,C.Williams,12,2024,23,CHI,17,17,12,QB
19,C.Stroud,11,2024,23,HOU,19,19,11,QB
20,K.Cousins,10,2024,36,ATL,14,14,10,QB
21,T.Tagovailoa,9,2024,26,MIA,11,11,9,QB
22,R.Wilson,9,2024,36,PIT,12,12,9,QB
23,D.Maye,8,2024,22,NWE,13,12,8,QB
24,B.Young,8,2024,23,CAR,14,12,8,QB
25,D.Carr,7,2024,33,NOR,10,10,7,QB
26,J.Fields,6,2024,25,PIT,11,6,6,QB
27,T.Lawrence,6,2024,25,JAX,10,10,6,QB
28,A.Richardson,6,2024,22,IND,11,11,6,QB
29,J.Flacco,5,2024,39,IND,8,6,5,QB
30,D.Jones,5,2024,27,NYG,10,10,5,QB
31,W.Levis,5,2024,25,TEN,12,12,5,QB
32,D.Prescott,5,2024,31,DAL,8,8,5,QB
33,G.Minshew,4,2024,28,LVR,10,9,4,QB
34,A.O’Connell,4,2024,26,LVR,9,7,4,QB
35,C.Rush,4,2024,31,DAL,12,8,4,QB
36,J.Winston,4,2024,30,CLE,12,7,4,QB
37,T.Huntley,3,2024,26,MIA,5,5,3,QB
38,M.Jones,3,2024,26,JAX,10,7,3,QB
39,M.Rudolph,3,2024,29,TEN,8,5,3,QB
40,M.Willis,3,2024,25,GNB,7,2,3,QB
41,M.Mariota,2,2024,31,WAS,6,0,2,QB
42,M.Penix,2,2024,24,ATL,5,3,2,QB
43,S.Rattler,2,2024,24,NOR,7,6,2,QB
44,B.Allen,1,2024,32,SFO,3,1,1,QB
45,T.Boyle,1,2024,30,"MIA,NYG",3,0,1,QB
46,A.Dalton,1,2024,37,CAR,6,5,1,QB
47,T.Devito,1,2024,26,NYG,3,2,1,QB
48,J.Dobbs,1,2024,29,SFO,2,1,1,QB
49,J.Garoppolo,1,2024,33,LAR,1,1,1,QB
50,J.Haener,1,2024,25,NOR,8,1,1,QB
51,T.Lance,1,2024,24,DAL,4,1,1,QB
52,D.Lock,1,2024,28,NYG,8,5,1,QB
53,T.McKee,1,2024,24,PHI,2,1,1,QB
54,D.Mills,1,2024,26,HOU,4,0,1,QB
55,J.Milton,1,2024,24,NWE,1,0,1,QB
56,K.Pickett,1,2024,26,PHI,7,1,1,QB
57,D.Ridder,1,2024,25,LVR,6,1,1,QB
58,D.Thompson-Robinson,1,2024,25,CLE,7,2,1,QB
59,S.Thompson,1,2024,27,MIA,3,1,1,QB
60,M.Trubisky,1,2024,30,BUF,10,0,1,QB
61,K.Allen,0,2024,28,PIT,1,0,0,QB
62,T.Bagent,0,2024,24,CHI,4,0,0,QB
63,T.Bridgewater,0,2024,32,DET,1,0,0,QB
64,J.Brissett,0,2024,32,NWE,8,5,0,QB
65,J.Browning,0,2024,28,CIN,3,0,0,QB
66,J.Driskel,0,2024,31,WAS,1,0,0,QB
67,T.Heinicke,0,2024,31,LAC,4,0,0,QB
68,H.Hooker,0,2024,26,DET,3,0,0,QB
69,S.Howell,0,2024,24,SEA,2,0,0,QB
70,J.Johnson,0,2024,38,BAL,6,0,0,QB
71,N.Mullens,0,2024,29,MIN,4,0,0,QB
72,C.Oladokun,0,2024,27,KAN,1,0,0,QB
73,J.Stidham,0,2024,28,DEN,3,0,0,QB
74,T.Taylor,0,2024,35,NYJ,2,0,0,QB
75,K.Trask,0,2024,26,TAM,4,0,0,QB
76,C.Tune,0,2024,25,ARI,6,0,0,QB
77,D.Watson,0,2024,29,CLE,7,7,0,QB
78,C.Wentz,0,2024,32,KAN,3,1,0,QB
79,M.White,0,2024,29,BUF,1,0,0,QB
80,B.Zappe,0,2024,25,CLE,1,1,0,QB
