Player,AV,Team,Pos
S.Barkley,18,PHI,RB
J.Gibbs,17,DET,RB
D.Henry,16,BAL,RB
B.Irving,12,TAM,RB
J.Jacobs,12,GNB,RB
B.Robinson,12,ATL,RB
D.Achane,11,MIA,RB
J.Conner,11,ARI,RB
J.Cook,11,BUF,RB
A.Jones,11,MIN,RB
C.Brown,10,CIN,RB
D.Montgomery,10,DET,RB
B.Hall,9,NYJ,RB
C.Hubbard,9,CAR,RB
A.Kamara,9,NOR,RB
J.Taylor,9,IND,RB
K.Williams,9,LAR,RB
R.Dowdle,8,DAL,RB
N.Harris,8,PIT,RB
J.Mixon,8,HOU,RB
D.Swift,8,CHI,RB
R.White,8,TAM,RB
J.Dobbins,7,LAC,RB
A.Ekeler,7,WAS,RB
T.Pollard,7,TEN,RB
B.Robinson,7,WAS,RB
Z.Charbonnet,6,SEA,RB
R.Davis,6,BUF,RB
T.Tracy,6,NYG,RB
J.Warren,6,PIT,RB
J.Williams,6,DEN,RB
T.Bigsby,5,JAX,RB
T.Etienne,5,JAX,RB
A.Gibson,5,NWE,RB
J.Hill,5,BAL,RB
K.Hunt,5,KAN,RB
T.Johnson,5,BUF,RB
J.Mason,5,SFO,RB
R.Stevenson,5,NWE,RB
K.Walker,5,SEA,RB
A.Abdullah,4,LVR,RB
T.Allgeier,4,ATL,RB
J.Ford,4,CLE,RB
I.Guerendo,4,SFO,RB
A.Mattison,4,LVR,RB
J.McLaughlin,4,DEN,RB
S.Perine,4,KAN,RB
E.Wilson,4,GNB,RB
T.McBride,11,ARI,TE
B.Bowers,9,LVR,TE
G.Kittle,9,SFO,TE
T.Kelce,8,KAN,TE
S.LaPorta,8,DET,TE
J.Smith,8,MIA,TE
M.Andrews,7,BAL,TE
Z.Ertz,7,WAS,TE
T.Kraft,7,GNB,TE
P.Freiermuth,6,PIT,TE
M.Gesicki,6,CIN,TE
D.Goedert,6,PHI,TE
H.Henry,6,NWE,TE
C.Otton,6,TAM,TE
W.Dissly,5,LAC,TE
J.Johnson,5,NOR,TE
D.Kincaid,5,BUF,TE
I.Likely,5,BAL,TE
K.Pitts,5,ATL,TE
T.Conklin,4,NYJ,TE
N.Fant,4,SEA,TE
J.Ferguson,4,DAL,TE
N.Gray,4,KAN,TE
T.Hockenson,4,MIN,TE
A.Hooper,4,NWE,TE
C.Kmet,4,CHI,TE
D.Knox,4,BUF,TE
C.Okonkwo,4,TEN,TE
D.Schultz,4,HOU,TE
J.Chase,16,CIN,WR
J.Jefferson,14,MIN,WR
A.St.Brown,14,DET,WR
A.Brown,12,PHI,WR
T.McLaurin,12,WAS,WR
Z.Flowers,11,BAL,WR
L.McConkey,11,LAC,WR
B.Thomas,11,JAX,WR
J.Williams,11,DET,WR
D.Adams,10,"NYJ,LVR",WR
M.Evans,10,TAM,WR
D.London,10,ATL,WR
K.Shakir,10,BUF,WR
C.Sutton,10,DEN,WR
G.Wilson,10,NYJ,WR
T.Hill,9,MIA,WR
C.Lamb,9,DAL,WR
D.Moore,9,CHI,WR
M.Nabers,9,NYG,WR
P.Nacua,9,LAR,WR
J.Reed,9,GNB,WR
D.Smith,9,PHI,WR
J.Smith-Njigba,9,SEA,WR
J.Addison,8,MIN,WR
R.Bateman,8,BAL,WR
N.Collins,8,HOU,WR
M.Harrison,8,ARI,WR
T.Higgins,8,CIN,WR
J.Jennings,8,SFO,WR
J.Meyers,8,LVR,WR
D.Mooney,8,ATL,WR
G.Pickens,8,PIT,WR
C.Ridley,8,TEN,WR
K.Coleman,7,BUF,WR
J.Downs,7,IND,WR
J.Jeudy,7,CLE,WR
Q.Johnston,7,LAC,WR
D.Metcalf,7,SEA,WR
A.Pierce,7,IND,WR
M.Pittman,7,IND,WR
J.Waddle,7,MIA,WR
X.Worthy,7,KAN,WR
K.Allen,6,CHI,WR
C.Austin,6,PIT,WR
T.Dell,6,HOU,WR
R.Doubs,6,GNB,WR
C.Godwin,6,TAM,WR
C.Kupp,6,LAR,WR
R.McCloud,6,ATL,WR
R.Odunze,6,CHI,WR
J.Palmer,6,LAC,WR
D.Samuel,6,SFO,WR
A.Thielen,6,CAR,WR
K.Turpin,6,DAL,WR
C.Watson,6,GNB,WR
O.Zaccheaus,6,WAS,WR
T.Atwell,5,LAR,WR
K.Boutte,5,NWE,WR
N.Brown,5,WAS,WR
D.Douglas,5,NWE,WR
D.Hopkins,5,"KAN,TEN",WR
A.Lazard,5,NYJ,WR
X.Legette,5,CAR,WR
T.Lockett,5,SEA,WR
J.McMillan,5,TAM,WR
M.Mims,5,DEN,WR
W.Robinson,5,NYG,WR
M.Wilson,5,ARI,WR
J.Coker,4,CAR,WR
A.Cooper,4,"BUF,CLE",WR
S.Diggs,4,HOU,WR
M.Hollins,4,BUF,WR
A.Iosivas,4,CIN,WR
J.Nailor,4,MIN,WR
T.Patrick,4,DET,WR
D.Robinson,4,LAR,WR
R.Shaheed,4,NOR,WR
S.Shepard,4,TAM,WR
D.Slayton,4,NYG,WR
J.Tolbert,4,DAL,WR
T.Tucker,4,LVR,WR
D.Vele,4,DEN,WR
P.Washington,4,JAX,WR
N.Westbrook-Ikhine,4,TEN,WR
D.Wicks,4,GNB,WR
B.Aiyuk,3,SFO,WR
