season,player,player_id,team,position,position_group,player_game_count,snap_counts_offense,snap_counts_pass_block,snap_counts_run_block,grades_offense,grades_pass_block,grades_run_block,pressures_allowed,sacks_allowed,hits_allowed,hurries_allowed,block_percent,pass_block_percent,pbe,penalties,declined_penalties
2021,Trey Smith,62960,KC,G,G,20,1404,956,448,72.7,61.5,78.2,57,5,10,42,100.0,100.0,96.5,11,1
2021,Joe Thuney,10712,KC,G,G,20,1394,956,438,81.2,90.5,70.6,17,1,2,14,100.0,100.0,99.0,8,2
2021,Creed Humphrey,59996,KC,C,C,20,1394,956,438,91.8,79.1,93.1,12,3,1,8,100.0,100.0,99.2,7,2
2021,David Edwards,35941,LA,G,G,21,1365,838,527,68.4,70.7,65.1,41,7,4,30,100.0,100.0,97.0,5,1
2021,Austin Corbett,46290,LA,G,G,21,1360,838,522,69.6,63.1,68.5,41,3,10,28,100.0,100.0,97.2,3,0
2021,Orlando Brown Jr.,46227,KC,T,T,19,1337,916,421,75.4,74.4,68.4,45,6,13,26,100.0,100.0,97.0,7,3
2021,Alex Cappa,66578,TB,G,G,19,1327,896,431,71.3,67.5,69.0,35,5,7,23,100.0,100.0,97.7,1,0
2021,Jonah Williams,41651,CIN,T,T,20,1301,808,493,74.5,67.5,75.6,51,10,7,34,100.0,100.0,96.0,5,0
2021,Ryan Jensen,7985,TB,C,C,19,1296,886,410,68.3,57.1,77.1,27,4,5,18,100.0,100.0,98.2,6,2
2021,Daryl Williams,9535,BUF,G,G,19,1292,850,442,66.8,72.3,59.0,44,4,9,31,100.0,100.0,97.0,6,0
2021,Donovan Smith,9467,TB,T,T,19,1292,884,408,80.5,80.1,69.9,43,4,4,35,100.0,100.0,97.2,8,2
2021,Mitch Morse,9482,BUF,C,C,19,1284,851,433,63.4,71.8,58.8,26,2,2,22,100.0,100.0,98.2,5,1
2021,Tyler Biadasz,41178,DAL,C,C,18,1274,819,455,65.1,69.3,68.7,22,1,4,17,100.0,100.0,98.5,11,0
2021,Laken Tomlinson,9461,SF,G,G,20,1264,681,583,73.6,69.2,75.3,33,3,9,21,100.0,100.0,97.2,7,0
2021,Daniel Brunskill,34807,SF,G,G,20,1259,681,578,57.1,48.2,59.6,41,5,6,30,100.0,100.0,96.4,4,1
2021,Alex Mack,4944,SF,C,C,20,1258,680,578,70.6,74.8,67.4,15,2,2,11,100.0,100.0,98.7,3,0
2021,Quinton Spain,10110,CIN,G,G,20,1252,782,470,66.4,56.2,69.4,30,7,4,19,100.0,100.0,97.5,4,0
2021,David Quessenberry,7957,TEN,T,T,18,1237,662,575,79.2,61.6,86.6,46,11,12,23,100.0,100.0,95.4,2,1
2021,Rob Havenstein,9490,LA,T,T,19,1236,764,472,83.4,77.5,82.2,30,7,6,17,100.0,100.0,97.5,4,2
2021,Kevin Zeitler,7032,BAL,G,G,17,1221,771,450,75.1,79.7,68.7,17,1,0,16,100.0,100.0,98.8,7,0
2021,Kolton Miller,47013,LV,T,T,18,1216,792,424,85.0,85.1,77.9,35,4,5,26,100.0,100.0,97.4,6,2
2021,Andre James,47058,LV,C,C,18,1216,792,424,64.8,68.6,61.8,18,3,3,12,100.0,100.0,98.6,8,0
2021,Ben Jones,7099,TEN,C,C,18,1213,658,555,76.4,66.3,79.9,26,1,7,18,100.0,100.0,97.8,6,1
2021,Dion Dawkins,11818,BUF,T,T,18,1209,795,413,79.4,82.8,69.2,28,4,6,18,99.9,99.9,97.9,10,2
2021,Alejandro Villanueva,9091,BAL,T,T,17,1205,764,441,65.4,58.7,65.9,54,9,9,36,100.0,100.0,95.6,11,1
2021,Tristan Wirfs,64818,TB,T,T,18,1190,801,389,84.3,83.8,74.4,15,3,2,10,100.0,100.0,98.8,3,1
2021,John Simpson,41715,LV,G,G,18,1189,772,417,53.0,64.1,45.9,40,3,5,32,100.0,100.0,97.0,11,1
