season,team,n_linemen,total_pass_block_snaps,total_run_block_snaps,total_offense_snaps,team_pass_block_grade,team_run_block_grade,team_offense_grade,total_pressures_allowed,total_sacks_allowed,total_hits_allowed,total_hurries_allowed,total_penalties,pressure_rate,sack_rate,C_pass_block_grade,G_pass_block_grade,T_pass_block_grade,C_run_block_grade,G_run_block_grade,T_run_block_grade,C_pass_block_snaps,G_pass_block_snaps,T_pass_block_snaps,C_run_block_snaps,G_run_block_snaps,T_run_block_snaps,C_pressures_allowed,G_pressures_allowed,T_pressures_allowed,C_sacks_allowed,G_sacks_allowed,T_sacks_allowed,C_n_players,G_n_players,T_n_players,total_offensive_epa,total_offensive_plays,rushing_epa,passing_epa,rushing_plays,passing_plays,offensive_epa_per_play,rushing_epa_per_play,passing_epa_per_play
2021,ARI,14,3735,2427,6162,,57.57309435517099,58.79696527101591,164,22,10,132,47,0.04390896921017403,0.005890227576974565,64.6,,,54.7,54.75650040883074,62.608247422680414,523.0,1826.0,1386.0,331.0,1223.0,873.0,5.0,78.0,81.0,1.0,10.0,11.0,1.0,7.0,6.0,66.06696262278,1213,-19.452038836200003,85.51900145898001,472.0,741.0,0.054465756490338,-0.04121194668686441,0.1154102583791903
2021,ATL,8,3338,1920,5258,54.32905931695626,74.48229166666667,68.6457588436668,200,27,50,123,28,0.05991611743559017,0.008088675853804673,49.96905829596413,46.97432432432433,63.83792071802542,88.43643410852714,76.81620915032678,65.12591145833333,669.0,1332.0,1337.0,387.0,765.0,768.0,36.0,93.0,71.0,3.0,12.0,12.0,2.0,3.0,3.0,-79.83472012224,1038,-59.212235048400004,-20.622485073839997,373.0,665.0,-0.07691206177479769,-0.15874593846756033,-0.031011255750135334
2021,BAL,13,3957,2319,6280,68.41473338387667,,67.27923566878981,178,24,22,132,32,0.04498357341420268,0.006065200909780136,73.86779874213836,71.1910923276983,63.115948275862074,69.36139240506328,65.13355704697986,,795.0,1538.0,1624.0,474.0,894.0,951.0,23.0,46.0,109.0,4.0,4.0,16.0,2.0,3.0,8.0,7.8165778745,1225,-21.363346094999997,29.179923969500006,448.0,777.0,0.00638087989755102,-0.047686040390625,0.03755459970334621
2021,BUF,10,4358,2433,6798,67.55516291877008,60.62630497328401,64.10457487496323,207,17,37,153,42,0.04749885268471776,0.003900871959614502,71.8,65.92828854314004,67.43845598845598,58.8,56.53391153512576,67.13081463990555,851.0,2121.0,1386.0,433.0,1153.0,847.0,26.0,107.0,74.0,2.0,7.0,8.0,1.0,5.0,4.0,170.8746179993,1292,-1.2747560584999977,172.14937405779997,447.0,845.0,0.13225589628428794,-0.0028518032628635295,0.20372706989088754
2021,CAR,11,3566,2182,5748,54.550813236118906,59.96319890009166,58.93505567153793,213,27,35,151,34,0.05973079080201907,0.007571508693213685,50.86220472440945,43.302531645569616,68.15846599131693,60.98747346072187,54.79062857142856,64.8,762.0,1422.0,1382.0,471.0,875.0,836.0,31.0,99.0,83.0,2.0,17.0,8.0,3.0,5.0,3.0,-147.60461886945,1139,-38.6526546449,-108.95196422455001,426.0,713.0,-0.12959141252805093,-0.09073393109131454,-0.1528078039615007
2021,CHI,10,3518,2137,5656,64.91930073905627,62.9697239120262,64.16479844413013,194,27,24,143,39,0.05514496873223423,0.007674815235929506,61.7,64.8,66.63236749116608,46.4,69.6,64.55450399087799,701.0,1402.0,1415.0,420.0,840.0,877.0,28.0,73.0,93.0,1.0,7.0,19.0,1.0,2.0,7.0,-94.16993236827001,1109,-43.30749946339999,-50.86243290487,414.0,695.0,-0.08491427625633004,-0.10460748662657003,-0.07318335669765468
2021,CIN,12,4224,2645,6871,54.90014204545455,63.16128544423441,59.55176830155726,228,42,37,149,41,0.05397727272727273,0.009943181818181818,61.427727272727275,48.05864160097028,58.16702064896756,48.86484962406015,60.84561752988048,72.11587015329125,880.0,1649.0,1695.0,532.0,1004.0,1109.0,23.0,91.0,114.0,5.0,16.0,21.0,3.0,4.0,5.0,65.90453087290001,1336,-52.20662628819999,118.1111571611,500.0,836.0,0.049329738677320364,-0.10441325257639998,0.14128128847021532
2021,CLE,10,3162,2396,5559,69.83760278304871,78.60609348914858,76.91433711099118,141,24,14,103,33,0.04459203036053131,0.007590132827324478,83.11426307448494,76.11142643764003,55.76191275167785,74.41680672268907,89.5677966101695,68.79094874591058,631.0,1339.0,1192.0,476.0,1003.0,917.0,10.0,48.0,83.0,1.0,8.0,15.0,2.0,3.0,5.0,16.9179492418,1093,7.891264769799999,9.026684472,465.0,628.0,0.015478453103202195,0.016970461870537634,0.014373701388535031
2021,DAL,10,4128,2472,6615,,78.4722491909385,76.79439153439155,151,15,26,110,60,0.03657945736434109,0.003633720930232558,69.3,79.2724158653846,,68.7,81.0789323164919,80.24080578512397,819.0,1664.0,1645.0,455.0,1049.0,968.0,22.0,54.0,75.0,1.0,5.0,9.0,1.0,4.0,5.0,90.4444519341,1278,-26.193672797999994,116.63812473210001,463.0,815.0,0.07077030667769953,-0.05657380733909286,0.14311426347496933
2021,DEN,11,3185,2225,5410,68.89076923076924,65.77635955056179,68.31894639556377,165,28,32,105,24,0.05180533751962323,0.008791208791208791,69.39262166405024,68.06875981161696,69.461852433281,61.77312775330397,62.799546485260784,70.77412823397076,637.0,1274.0,1274.0,454.0,882.0,889.0,28.0,63.0,74.0,5.0,13.0,10.0,2.0,4.0,5.0,21.522633921180002,1073,-40.6642170954,62.18685101658001,438.0,635.0,0.02005837271312209,-0.09284067829999999,0.09793204884500789
2021,DET,12,3414,2215,5633,,69.66681715575622,68.20102964672466,179,18,38,123,42,0.05243116578793205,0.005272407732864675,69.09985119047619,,64.85867828612928,67.0933660933661,68.65234285714286,71.74083601286173,672.0,1365.0,1377.0,407.0,875.0,933.0,19.0,66.0,94.0,3.0,4.0,11.0,3.0,5.0,4.0,-62.8619909628,1100,-52.432953244,-10.429037718799997,425.0,675.0,-0.05714726451163636,-0.1233716546917647,-0.015450426250074069
2021,GB,12,3590,2270,5860,,58.455991189427316,63.43552901023891,158,20,27,111,25,0.04401114206128134,0.005571030640668524,64.80717761557177,,,52.9156,54.69767981438515,65.07477973568282,822.0,1332.0,1436.0,500.0,862.0,908.0,30.0,53.0,75.0,2.0,8.0,10.0,3.0,3.0,6.0,140.95642168265,1148,-0.5033587121900034,141.45978039483998,434.0,714.0,0.12278433944481706,-0.0011598127008986252,0.19812294172946776
2021,HOU,11,3300,2059,5359,59.052727272727275,51.26274890723653,55.998301922000365,146,21,18,107,29,0.04424242424242424,0.006363636363636364,44.94752650176679,54.795256166982924,71.81474414570685,66.31074380165289,51.668613138686126,43.32293080054274,566.0,1581.0,1153.0,363.0,959.0,737.0,19.0,69.0,58.0,5.0,9.0,7.0,2.0,5.0,4.0,-139.9276838744,1060,-85.0058481798,-54.921835694600006,405.0,655.0,-0.13200724893811322,-0.20989098316,-0.08385013083145039
2021,IND,10,3139,2448,5588,60.3524689391526,71.43361928104574,67.98180028632784,194,21,43,130,39,0.061803122013380056,0.00669002867155145,55.793322734499206,60.584716516023015,62.35174013921114,63.99224652087476,70.05827107790823,76.42539682539682,629.0,1217.0,1293.0,503.0,937.0,1008.0,33.0,70.0,91.0,3.0,3.0,15.0,2.0,4.0,4.0,64.42745512236,1098,29.861732624860004,34.5657224975,473.0,625.0,0.05867709938284153,0.06313262711386892,0.055305155996
2021,JAX,11,3561,1863,5425,67.64026958719461,56.31760601180892,62.9689400921659,154,18,29,107,38,0.043246279135074416,0.005054759898904802,64.08595505617977,63.409537166900414,73.65832747716092,62.89973045822102,60.56188579017265,48.688497970230046,712.0,1426.0,1423.0,371.0,753.0,739.0,23.0,60.0,71.0,2.0,7.0,9.0,2.0,6.0,3.0,-85.75975397392,1074,-42.242025142100005,-43.51772883182001,367.0,707.0,-0.07985079513400373,-0.11510088594577658,-0.06155265747074966
2021,KC,10,4783,2258,7044,,75.79295837023915,76.87181998864281,200,22,32,146,43,0.04181476061049551,0.004599623667154506,,76.25333333333333,,92.20666666666665,74.10485436893204,69.18535754824065,956.0,1950.0,1877.0,450.0,927.0,881.0,12.0,74.0,114.0,3.0,6.0,13.0,2.0,3.0,5.0,208.00357993142,1385,-11.523828133080002,219.52740806449998,432.0,953.0,0.15018309020319134,-0.026675528085833337,0.23035404833630638
2021,LA,9,4217,2687,6904,71.83417121176191,72.34715295868999,75.25382387022016,173,32,33,108,26,0.04102442494664454,0.00758833293810766,61.508187134502926,66.9,81.9755634638197,75.86347197106691,66.79189704480457,75.92589861751152,855.0,1676.0,1686.0,553.0,1049.0,1085.0,30.0,82.0,61.0,5.0,10.0,17.0,2.0,2.0,5.0,89.8822600777,1349,-84.41918525506001,174.30144533276,508.0,841.0,0.06662880658094884,-0.16617949853358271,0.2072549885050654
2021,LAC,11,3992,2046,6042,,74.35581622678397,72.94991724594504,160,21,30,109,34,0.04008016032064128,0.005260521042084168,82.73874213836478,,63.30651629072681,82.3111111111111,68.94342105263158,76.0443488943489,795.0,1601.0,1596.0,396.0,836.0,814.0,11.0,60.0,89.0,0.0,8.0,13.0,2.0,5.0,4.0,105.95212198930001,1180,-29.629694441499996,135.58181643080002,386.0,794.0,0.0897899338892373,-0.07676086642875647,0.1707579552025189
2021,LV,11,3963,2129,6092,61.34171082513247,60.73691874119305,60.99822718319107,222,28,43,151,52,0.056018168054504165,0.0070653545293969215,68.60126103404791,49.56300512236767,71.91380042462845,61.71906976744185,53.8337982832618,68.57444589308997,793.0,1757.0,1413.0,430.0,932.0,767.0,18.0,115.0,89.0,3.0,12.0,13.0,2.0,6.0,3.0,-0.35248896184000067,1204,-66.87279425439999,66.52030529256,419.0,785.0,-0.00029276491847176137,-0.15960094094128877,0.08473924241090446
2021,MIA,11,3704,2073,5777,,,55.57467543707807,235,24,30,181,39,0.06344492440604751,0.0064794816414686825,56.32000000000001,57.750977835723596,,,60.62359952324195,55.31388550548112,740.0,1534.0,1430.0,413.0,839.0,821.0,27.0,86.0,122.0,2.0,4.0,18.0,4.0,3.0,4.0,-51.30797386525,1140,-73.01695336705001,21.708979501800012,405.0,735.0,-0.04500699461864035,-0.1802887737458025,0.02953602653306124
2021,MIN,8,3487,2278,5768,53.92053340980787,67.478007023705,64.37101248266296,189,15,36,138,39,0.05420131918554631,0.004301691998852882,43.83037037037037,47.45062638172439,66.76348484848485,70.11086556169428,67.27902097902098,66.04253135689851,810.0,1357.0,1320.0,543.0,858.0,877.0,46.0,79.0,64.0,4.0,2.0,9.0,2.0,2.0,4.0,15.8462330266,1127,-50.683934853400004,66.53016788,444.0,683.0,0.014060543945519078,-0.11415300642657658,0.09740873774524157
2021,NE,10,3305,2639,5945,70.27978819969742,75.94691170898068,76.55722455845249,124,20,25,79,25,0.03751891074130106,0.006051437216338881,73.2,71.84565960355434,66.74385521885523,80.1,78.95101214574898,69.6038503850385,654.0,1463.0,1188.0,495.0,1235.0,909.0,18.0,43.0,63.0,1.0,7.0,12.0,1.0,4.0,5.0,84.5600122888,1145,-6.227254131200002,90.78726642000001,491.0,654.0,0.0738515391168559,-0.012682798637881878,0.13881845018348626
2021,NO,13,3104,2543,5648,62.862242268041236,,61.547839943342765,162,17,26,119,26,0.05219072164948454,0.00547680412371134,65.25517928286853,50.65405192761605,73.61758076634109,65.63607427055703,50.80812785388128,,502.0,1271.0,1331.0,377.0,1095.0,1071.0,14.0,78.0,70.0,1.0,9.0,7.0,2.0,4.0,7.0,-71.90534125880001,1075,-69.61856788810002,-2.286773370699997,469.0,606.0,-0.06688868954306977,-0.148440443258209,-0.003773553416996695
2021,NYG,12,3571,2023,5597,,64.63059812160158,60.57591566910845,190,28,35,127,34,0.05320638476617194,0.00784094091290955,52.34900284900285,,65.14993036211699,68.03529411764706,61.19454976303318,66.67992700729927,702.0,1433.0,1436.0,357.0,844.0,822.0,25.0,89.0,76.0,2.0,12.0,14.0,2.0,6.0,4.0,-149.82236604307,1089,-47.32616015397,-102.4962058891,384.0,705.0,-0.137577930250753,-0.12324520873429688,-0.14538468920439715
2021,NYJ,11,3616,1855,5476,63.14762168141593,70.93708894878705,69.2403761869978,201,20,30,151,25,0.05558628318584071,0.0055309734513274336,66.26742021276596,55.100352609308885,69.41659751037344,78.98197530864199,69.76883852691219,67.66639784946237,752.0,1418.0,1446.0,405.0,706.0,744.0,23.0,99.0,79.0,4.0,6.0,10.0,2.0,4.0,5.0,-77.51515177424,1078,-30.18902056774,-47.326131206499994,365.0,713.0,-0.07190644877016697,-0.0827096453910685,-0.0663760605981767
2021,PHI,15,3341,2598,5940,71.56710565698893,77.07101616628175,77.2334175084175,166,12,22,132,41,0.04968572283747381,0.0035917390002993114,69.14160475482913,65.54120603015075,79.43098039215685,86.31153846153846,69.0670122525919,80.69655850540808,673.0,1393.0,1275.0,520.0,1061.0,1017.0,18.0,85.0,63.0,1.0,7.0,4.0,3.0,7.0,5.0,64.20766132680001,1172,13.890282722000002,50.317378604800005,509.0,663.0,0.05478469396484642,0.02728935701768173,0.07589348205852188
